"来源","区","区行政区划代码","省","省行政区划代码","市","市行政区划代码"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","东城区","110101","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","西城区","110102","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","朝阳区","110105","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","丰台区","110106","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","石景山区","110107","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","海淀区","110108","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","门头沟区","110109","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","房山区","110111","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","通州区","110112","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","顺义区","110113","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","昌平区","110114","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","大兴区","110115","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","怀柔区","110116","北京","11","市辖区","1101"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","平谷区","110117","北京","11","市辖区","1101"
"[ ""ip33.com"", ""tool90.com"" ]","密云县","110228","北京","11","县","1102"
"[ ""ip33.com"", ""tool90.com"" ]","延庆县","110229","北京","11","县","1102"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","和平区","120101","天津","12","市辖区","1201"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","河东区","120102","天津","12","市辖区","1201"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","河西区","120103","天津","12","市辖区","1201"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","南开区","120104","天津","12","市辖区","1201"
"[ ""ip33.com"", ""bmcx.com"", ""tool90.com"" ]","河北区","120105","天津","12","市辖区","1201"
